AvaXlauncher,AVXL
Band Protocol,BAND
SXC Token,SXC
Xeno Token,XNO
Aion,AION
Pax Dollar,USDP
Marlin,POND
My DeFi Pet,DPET
Base Protocol,BASE
Elastos,ELA
OKExChain,OKT
Big Data Protocol,BDP
Dora Factory,DORA
DeRace,DERC
Wrapped KuCoin Token,WKCS
Spell Token,SPELL
Goose Finance,EGG
PayCoin,XPY
Toko Token,TKO
The Sandbox,SAND
GamerCoin,GHX
DinoX,DNXC
WanSwap,WASP
Binamon,BMON
NEM,XEM
Wrapped AVAX,WAVAX
Steem Dollars,SBD
Tether,USDT
Refereum,RFR
iExec RLC,RLC
Tripio,TRIO
Nucleus Vision,NCASH
adToken,ADT
Avalanche,AVAX
Vesper,VSP
DigixDAO,DGD
Penta,PNT
Lunyr,LUN
eToro Euro,EURX
WaykiChain Governance Coin,WGRT
ChatCoin,CHAT
Dent,DENT
Ocean Protocol,OCEAN
Moonpot,POTS
Chain Guardians,CGG
MaidSafeCoin,MAID
LATOKEN,LA
PolyShield Finance,SHI3LD
TRON,TRX
Harvest Finance,FARM
Mdex,MDX
INT,INT
Drep [new],DREP
Ethereum,ETH
YEE,YEE
Gala,GALA
Mask Network,MASK
BENQI,QI
Megacoin,MEC
HalfPizza,PIZA
Tellor,TRB
XP NETWORK,XPNET
Wings,WINGS
FNK wallet,FNK
USDK,USDK
DeFi Warrior (FIWA),FIWA
Emercoin,EMC
SOMESING,SSX
Pundi X[new],PUNDIX
NuBits,USNBT
SuperFarm,SUPER
THORChain (ERC20),RUNE
FNDZ,FNDZ
SKALE Network,SKL
Sunny Aggregator,SUNNY
Bytom,BTM
CELEBPLUS,CELEB
Monsta Infinite,MONI
ICON,ICX
Cosmos,ATOM
Thunder Token,TT
MobileCoin,MOB
Cyclos,CYS
Cryptonite,XCN
Zcash,ZEC
bAlpha,BALPHA
Oxygen,OXY
TopChain,TOPC
Eden,EDEN
saffron.finance,SFI
Morpheus Token,MORPH
OEC UNI,UNIK
Alpha Quark Token,AQT
Cartesi,CTSI
dYdX,DYDX
GravitX,GRX
Fei Protocol,FEI
Punk Vault (NFTX),PUNK
Polylastic,POLX
Project DogeX,DOGEX
Metal,MTL
Bluzelle,BLZ
BioPassport Token,BIOT
OKCash,OK
Injective Protocol,INJ
Powerledger,POWR
FirmaChain,FCT
Metadium,META
Metahero,HERO
Doont Buy,DBUY
WorldCoin,WDC
TerraUSD,UST
IOST,IOST
WaykiChain,WICC
Daddy Doge,DADDYDOGE
DRIFE,DRF
Flurry Finance,FLURRY
Name Change Token,NCT
Opium,OPIUM
Mrweb Finance,AMA
Iron,IRON
Bone ShibaSwap,BONE
CannabisCoin,CANN
Terra Virtua Kolect,TVK
DOGGY,DOGGY
Convex Finance,CVX
Polkadot,DOT
Infinity Economics,XIN
Storm Token,STORM
Teddy Cash,TEDDY
Block Monsters,MNSTRS
Dawn Protocol,DAWN
Loopring,LRC
XRP,XRP
Lambda,LAMB
TrusterCoin,TSC
Bao Finance,BAO
Alien Worlds,TLM
CryptoMines,ETERNAL
Convergence,CONV
Shiden Network,SDN
GIBX Swap,X
Fetch.ai,FET
Golem,GLM
Pancakelock,PLOCK
Endor Protocol,EDR
Hoge Finance,HOGE
ODEM,ODE
CheCoin,CHECOIN
SuperCoin,SUPER
Beacon ETH,BETH
Ampleforth Governance Token,FORTH
Uncle Doge,UDOGE
Saber,SBR
Kishu Inu,KISHU
Horizen,ZEN
Snook,SNK
CryptoBlades,SKILL
RMRK,RMRK
Quiztok,QTCON
Bitcoin Standard Hashrate Token,BTCST
Global China Cash,CNC
Qredo,QRDO
Nerve Finance,NRV
handleFOREX,FOREX
Oasis Network,ROSE
vEmpire DDAO,VEMP
Insight Chain,INB
ZeroSwap,ZEE
Chiliz,CHZ
ZB Token,ZB
Chronicle,XNL
Bitcoin Cash,BCH
Burger Swap,BURGER
IDEX,IDEX
Doge Killer,LEASH
Position Exchange,POSI
Biconomy Exchange Token,BIT
Prometeus,PROM
Karura,KAR
StarLink,STARL
Bitcoin TRC20,BTCT
Safemars,SAFEMARS
12Ships,TSHP
ADAX,ADAX
Knight War The Holy Trio,KWS
Cirus Foundation,CIRUS
XYO,XYO
DeSpace Protocol,DES
Spookyswap,BOO
NuCypher,NU
Chainlink,LINK
Good Bridging,GB
Yaki Gold,YAG
Penguin Finance,PEFI
Poolz Finance,POOLZ
DragonVein,DVC
SafeMoon,SAFEMOON
Realm,REALM
DFI.Money,YFII
STING,STN
CoPuppy,CP
WOO Network,WOO
Mini Floki,MINIFLOKI
SIRIN LABS Token,SRN
TrueFi,TRU
Divergence,DIVER
EPIK Prime,EPIK
ZKSwap,ZKS
Arata,ARATA
Step Hero,HERO
QASH,QASH
Casper,CSPR
Viberate,VIB
Quantstamp,QSP
RAI Finance,RAI
JUST,JST
Decentralized data crypto system,DCS
Meme Lordz,$LORDZ
Defi Connect,DFC
ASD,ASD
BASIC,BASIC
ADAPad,ADAPAD
HashBridge Oracle,HBO
MiniDOGE,MINIDOGE
WazirX,WRX
Moonie NFT,MNY
Wanaka Farm,WANA
EpicHero 3D NFT,EPICHERO
Belt Finance,BELT
Yield Yak,YAK
DATA,DTA
Content Neutrality Network,CNN
Bounce Token,AUCTION
Opulous,OPUL
EduMetrix Coin,EMC
VelasPad,VLXPAD
Celo,CELO
Stellar,XLM
GateToken,GT
PlatON,LAT
Solrise Finance,SLRS
MatrixETF,MDF
Cryptex Finance,CTX
Mobius Finance,MOT
Clover Finance,CLV
SuperRare,RARE
MonaCoin,MONA
PicaArtMoney,PICA
AlinX,ALIX
Popsicle Finance,ICE
BNBPay,BPAY
COPS FINANCE,COPS
Gelato,GEL
aelf,ELF
NearPad,PAD
Mina,MINA
Hummingbird Egg Token,HEGG
ETH 2x Flexible Leverage Index,ETH2X-FLI
AC Milan Fan Token,ACM
VIDT Datalink,VIDT
Forest Knight,KNIGHT
SwftCoin,SWFTC
Maker,MKR
Flourishing AI,AI
Cred,LBA
Stealth,XST
LTO Network,LTO
Lisk,LSK
Stratis,STRAX
MCO,MCO
Time New Bank,TNB
BitZ Token,BZ
Dexit Finance,DXT
Chromia,CHR
Status,SNT
DeXe,DEXE
Radio Caca,RACA
AppCoins,APPC
Paypolitan Token,EPAN
ETHPad,ETHPAD
KingDeFi,KRW
Tweebaa,TWEE
TimeCoinProtocol,TMCN
Ontology,ONT
XMax,XMX
IoT Chain,ITC
OpenOcean,OOE
Navcoin,NAV
Radix Protocol,XRD
PancakeSwap,CAKE
Shirtum,SHI
Binance Coin,BNB
Verge,XVG
Gnosis,GNO
Compound,COMP
BAE,BAE
Hyper Pay,HPY
StarTerra,STT
MilliMeter,MM
OneLedger,OLT
CyberVein,CVT
Kite Sync,KITE
Zoo Crypto World,ZOO
MintCoin,MINT
Pylon Eco Token,PETN
Crypto.com Coin,CRO
Vent Finance,VENT
USD Coin,USDC
Cortex,CTXC
Value Liquidity,VALUE
Celer Network,CELR
Electric Vehicle Direct Currency,EVDC
Nexus,NXS
JulSwap,JULD
BigBoys Industry,BBI
MarX,MARX
Coni,CONI
Smooth Love Potion,SLP
Cobak Token,CBK
Everipedia,IQ
O3Swap,O3
Prosper,PROS
Nebulas,NAS
PlayDapp,PLA
Pet Games,PETG
Groestlcoin,GRS
BNBDOWN,BNBDOWN
Compound Dai,CDAI
Algorand,ALGO
Shiba Floki,FLOKI
The Doge NFT,DOG
Frax Share,FXS
Aavegotchi,GHST
Dimitra Token,DMTR
Diamond Boyz Coin,DBZ
AAVEUP,AAVEUP
Frax,FRAX
Bitcoin Cash ABC,BCHA
Dogecoin,DOGE
Phala Network,PHA
Livepeer,LPT
Bitcoin BEP2,BTCB
Edgeless,EDG
Impossible Decentralized Incubator Access,IDIA
DogeZoo,DZOO
Orchid,OXT
Ruff,RUFF
Bright Token,BRIGHT
BabySafeMoon,BSFM
YOYOW,YOYOW
BitShares,BTS
Aeternity,AE
Gera Coin,GERA
Bancor,BNT
Bitcoin Diamond,BCD
Moeda Loyalty Points,MDA
Polygon,MATIC
Gold Coin Reserve,GCR
